creative.coop,The Creative Coop,CO1 1PA,creative.lod.coop,,,
credit-union.coop,Credit Union,N19 3RQ,credit-union.lod.coop,,,
credituniongovernance.coop,Association of British Credit Unions Limited,M60 OAS,credituniongovernance.lod.coop,,,
csnetwork.coop,CS Network,CT20 1SJ,csnetwork.lod.coop,,,
cultural.coop,Cultural Cooperatives,N8 7DA,cultural.lod.coop,,,
culture.coop,Co-op Culture,HX7 7NW,culture.lod.coop,,,
cus.coop,Credit Union Solutions,UB3 1PE,cus.lod.coop,,,
cuso-uk.coop,Southampton Cooperative City,BH23 7NH,cuso-uk.lod.coop,,,
cyf.coop,Carreg Y Fedwen Cyf.,LL57 4RP,cyf.lod.coop,,,
dailybread.coop,Daily Bread Co-operative Ltd,NN4 7AD,dailybread.lod.coop,,,
dalefarm.coop,Dale Farm CoOp,BT3 9LS,dalefarm.lod.coop,,,
datrys.coop,Datrys Consulting Engineers Ltd,LL55 1SW,datrys.lod.coop,,,
delta-t.coop,Delta T Devices Ltd,CB25 0EJ,delta-t.lod.coop,,,
directory.coop,ICASS,OX4 1JE,directory.lod.coop,,,
domains.coop,Domains.coop Limited,OX4 1JE,domains.lod.coop,,,
drumlin.coop,Drumlin Wind Energy Co-operative Limited,LA14 2PN,drumlin.lod.coop,,,
dynamix.coop,Dynamix,SA1 2AY,dynamix.lod.coop,,,
earth.coop,LocalEyes Ltd,SA1 1NW,earth.lod.coop,,,
eastofengland.coop,East Of England Cooperative Society,IP9 2BJ,eastofengland.lod.coop,,,
ecologicalland.coop,Ecological Land Cooperative,BN7 2PE,ecologicalland.lod.coop,,,
edinburghbicycle.coop,Edinburgh Bicycle,EH9 1DU,edinburghbicycle.lod.coop,,,
edinburghsolar.coop,Edinburgh Solar Co-op,LA14 2PN,edinburghsolar.lod.coop,,,
egni.coop,Egni Cydweithredol Cyfyngedig,SA9 2GN,egni.lod.coop,,,
eip.coop,Evidence In Practice LLP,HR9 7RY,eip.lod.coop,,,
elm.coop,Eco Land Management LLP,PL18 9JL,elm.lod.coop,,,
empower.coop,Community Empowerment Limited,PO1 1BU,empower.lod.coop,,,
empowerus.coop,Co-operative Admin Solutions CIC,PO1 1BU,empowerus.lod.coop,,,
energyforeducation.coop,Energy for Education Co-operative,PO21 4XB,energyforeducation.lod.coop,,,
energyprospects.coop,Energy Prospects Co-op Limited,LA14 2PN,energyprospects.lod.coop,,,
equalcare.coop,Equal Care Co-op,HX7 8AH,equalcare.lod.coop,,,
ercu.coop,East Renfrewshire Credit Union Ltd.,G78 2RN,ercu.lod.coop,,,
essentialtrading.coop,Essential Trading Co op Ltd,BS16 3JB,essentialtrading.lod.coop,,,
etc.coop,Eco Thames Co-operative,E1 1LX,etc.lod.coop,,,
failsworth.coop,Co Op Academy Failsworth,M359HA,failsworth.lod.coop,,,
fairshares.coop,FairShares Association,S36 6UF,fairshares.lod.coop,,,
fairtrader.coop,The Fair Traders Cooperative Ltd,HD9 2JS,fairtrader.lod.coop,,,
fens.coop,Fenland Green Power Co-op Ltd,LA14 2PN,fens.lod.coop,,,
fieldtoforkorganics.coop,Field to Fork Organics Co-operative Limited,NW2 1RE,fieldtoforkorganics.lod.coop,,,
fish.coop,Coastal Producer Organisation,HR9 7RY,fish.lod.coop,,,
fourwinds.coop,Four Winds Energy Co-operative Limited,LA14 2PN,fourwinds.lod.coop,,,
fromfarm2fork.coop,Co-operative Group Limited,M60 4ES,fromfarm2fork.lod.coop,,,
futures.coop,Co-operative Futures,GL1 4DF,futures.lod.coop,,,
gcda.coop,Greenwich Cooperative Development Agency,SE10 9QF,gcda.lod.coop,,,
gildedsplinters.coop,Gildedsplinters,PE34 3AY,gildedsplinters.lod.coop,,,
gingergiraffe.coop,Ginger Giraffe Collective,W12 9EY,gingergiraffe.lod.coop,,,
glamorgan.coop,Jonathan Bishop Limited,SA19NN,glamorgan.lod.coop,,,
gloscommunityenergy.coop,Gloucestershire Community Energy Co-op,GL6 9AS,gloscommunityenergy.lod.coop,,,
goulash.coop,Goulash Co-operative Limited,CV3 2AB,goulash.lod.coop,,,
gowerpower.coop,Gower Power Community Cooperative,sa32ep,gowerpower.lod.coop,,,
grandunion.coop,Grand Union Housing Co-operative,E2 9HL,grandunion.lod.coop,,,
graphics.coop,The Graphics Company Ltd,EH7 4LS,graphics.lod.coop,,,
greatglen.coop,The Great Glen Energy Co-operative,LA14 2PN,greatglen.lod.coop,,,
greencity.coop,GreenCity Wholefoods,G31 1PQ,greencity.lod.coop,,,
greenfoxcommunityenergy.coop,Green Fox Community Energy,LE3 0HD,greenfoxcommunityenergy.lod.coop,,,
greenshootsdaynursery.coop,Green Shoots Day Nursery,E1 1LX,greenshootsdaynursery.lod.coop,,,
grin.coop,GRIN SW LLP,EX16 6WY,grin.lod.coop,,,
gritstone.coop,Gritstone Publishing Co-operative,HX7 6HJ,gritstone.lod.coop,,,
hampshire-energy.coop,Hampshire Energy Services,RG21 4HG,hampshire-energy.lod.coop,,,
harlowsave.coop,Harlowsave Credit Union,CM20 1HA,harlowsave.lod.coop,,,
haywoodacademy.coop,Haywood Academy,ST6 7AB,haywoodacademy.lod.coop,,,
hcd.coop,Hackney Co-operative Developments,E8 3DY,hcd.lod.coop,,,
